iter	step	elapsed_s	train_reward	train_length	eval_reward	eval_length	consistency_loss	grad_norm	pi_loss	reward_loss	total_loss	value_loss	weighted_loss	z_std
0	0	0.2	55.00	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	500	0.3	32.37	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	1000	0.5	33.04	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	1500	0.7	33.48	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	2000	0.8	35.98	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	2500	1.0	33.93	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
6	3000	1.1	41.31	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
7	3500	1.3	30.51	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
8	4000	1.4	44.32	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
9	4500	1.5	51.43	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10	5000	52.4	33.24	500	23.85	500.0	0.2824	0.2424	0.0000	0.0152	0.6354	0.6314	0.4282	0.4058
11	5500	58.5	10.54	500	23.85	500.0	0.2915	0.2800	0.0000	0.0131	0.6482	0.5856	0.3845	0.4465
12	6000	64.4	58.19	500	23.85	500.0	0.2567	0.1229	0.0000	0.0129	0.5787	0.5875	0.3335	0.4543
13	6500	70.4	114.21	500	23.85	500.0	0.2812	0.2125	0.0000	0.0238	0.6702	0.9591	0.3541	0.4953
14	7000	76.3	221.26	500	23.85	500.0	0.3200	0.5214	0.0000	0.0453	0.8828	2.2015	0.4730	0.5171
15	7500	94.2	236.18	500	163.36	500.0	0.3548	0.4620	0.0000	0.0870	1.1002	3.4721	0.5674	0.5239
16	8000	100.2	176.41	500	163.36	500.0	0.3558	0.5403	0.0000	0.1086	1.2113	4.4535	0.5452	0.5370
17	8500	106.1	229.19	500	163.36	500.0	0.3539	0.8305	0.0000	0.0940	1.2582	5.0335	0.6576	0.5344
18	9000	112.0	206.31	500	163.36	500.0	0.3942	1.3634	0.0000	0.1222	1.5311	6.8165	0.7728	0.5357
19	9500	117.9	279.64	500	163.36	500.0	0.4206	1.1665	0.0000	0.1099	1.7863	8.9019	0.8773	0.5514
