iter	step	elapsed_s	train_reward	train_length	eval_reward	eval_length	consistency_loss	grad_norm	pi_loss	reward_loss	total_loss	value_loss	weighted_loss	z_std
0	0	0.1	0.00	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	500	0.2	0.00	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	1000	0.3	0.00	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	1500	0.4	0.00	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	2000	0.5	91.62	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	2500	0.5	0.00	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
6	3000	0.6	0.00	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
7	3500	0.7	0.00	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
8	4000	0.8	0.00	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
9	4500	0.9	0.00	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10	5000	64.8	0.00	500	25.99	500.0	0.0004	0.2461	-10.2815	0.0095	0.0086	0.0308	0.0039	0.2235
11	5500	72.3	0.00	500	25.99	500.0	0.0004	0.3910	-12.1206	0.0115	0.0126	0.0608	0.0061	0.2148
12	6000	79.8	413.32	500	25.99	500.0	0.0012	0.4079	-15.6375	0.1248	0.0700	0.0524	0.0333	0.2409
13	6500	87.4	0.00	500	25.99	500.0	0.0015	0.3267	-20.9411	0.1133	0.0672	0.0761	0.0316	0.2559
14	7000	94.7	0.00	500	25.99	500.0	0.0012	1.4217	-23.6128	0.0879	0.0510	0.0472	0.0247	0.2706
15	7500	114.7	954.66	500	708.23	500.0	0.0012	0.5735	-25.4479	0.0682	0.0420	0.0555	0.0215	0.2875
16	8000	122.0	0.00	500	708.23	500.0	0.0014	0.9371	-28.9715	0.0301	0.0239	0.0612	0.0125	0.3013
17	8500	129.3	829.26	500	708.23	500.0	0.0012	0.9467	-33.0721	0.0248	0.0196	0.0475	0.0096	0.3007
18	9000	136.8	891.48	500	708.23	500.0	0.0010	0.9235	-41.0891	0.0201	0.0195	0.0747	0.0095	0.2902
19	9500	144.3	0.00	500	708.23	500.0	0.0011	0.6836	-40.1866	0.0227	0.0176	0.0417	0.0087	0.3268
20	10000	164.0	843.31	500	860.33	500.0	0.0009	2.9213	-44.8812	0.0367	0.0252	0.0500	0.0154	0.3230
21	10500	171.8	939.37	500	860.33	500.0	0.0008	0.7409	-52.2049	0.0097	0.0100	0.0356	0.0055	0.2959
22	11000	179.4	820.73	500	860.33	500.0	0.0007	1.3698	-52.9889	0.0156	0.0220	0.1276	0.0110	0.3036
23	11500	187.2	917.46	500	860.33	500.0	0.0009	0.8614	-57.5708	0.0131	0.0169	0.0860	0.0080	0.3070
24	12000	194.7	981.95	500	860.33	500.0	0.0008	1.0030	-63.4547	0.0091	0.0217	0.1556	0.0119	0.2936
25	12500	215.2	831.65	500	897.78	500.0	0.0009	0.1872	-70.5507	0.0094	0.0125	0.0599	0.0062	0.2969
26	13000	222.8	934.95	500	897.78	500.0	0.0009	0.2224	-81.2545	0.0103	0.0122	0.0526	0.0066	0.2887
