iter	step	elapsed_s	train_reward	train_length	eval_reward	eval_length	consistency_loss	grad_norm	pi_loss	reward_loss	total_loss	value_loss	weighted_loss	z_std
0	0	0.2	33.48	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	500	0.3	33.64	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	1000	0.5	37.30	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	1500	0.6	45.12	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	2000	0.7	34.98	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	2500	0.9	35.24	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
6	3000	1.0	32.35	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
7	3500	1.2	35.62	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
8	4000	1.3	60.90	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
9	4500	1.5	33.43	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10	5000	48.4	30.03	500	83.07	500.0	0.4215	0.2157	0.0000	0.0104	0.8947	0.4659	0.5309	0.4123
11	5500	54.0	88.18	500	83.07	500.0	0.4462	0.3607	0.0000	0.0202	0.9944	0.9178	0.6538	0.4837
12	6000	59.6	53.35	500	83.07	500.0	0.5328	0.2860	0.0000	0.0366	1.1881	1.0417	0.6340	0.4677
13	6500	65.2	71.60	500	83.07	500.0	0.6086	0.8365	0.0000	0.1110	1.5909	3.1809	0.9757	0.4718
14	7000	70.7	91.95	500	83.07	500.0	0.5092	0.6308	0.0000	0.0263	1.2489	2.1730	0.6749	0.5565
15	7500	88.3	123.33	500	67.09	500.0	0.6031	0.3535	0.0000	0.0692	1.4077	1.6685	0.6430	0.5413
16	8000	93.8	65.53	500	67.09	500.0	0.4351	0.5713	0.0000	0.0205	1.0540	1.7352	0.6278	0.7080
17	8500	99.2	142.75	500	67.09	500.0	0.4882	0.5606	0.0000	0.0197	1.2127	2.2647	0.6713	0.7628
18	9000	104.6	53.14	500	67.09	500.0	0.7375	0.5938	0.0000	0.0888	1.8501	3.3078	1.0955	0.6185
19	9500	110.1	181.28	500	67.09	500.0	0.5024	0.8187	0.0000	0.0230	1.2815	2.6518	0.6972	0.8267
20	10000	127.7	113.28	500	120.09	500.0	0.9112	1.2542	0.0000	0.2713	2.6225	6.6446	1.5197	0.6317
21	10500	133.4	76.60	500	120.09	500.0	0.5356	0.6635	0.0000	0.0158	1.3446	2.6555	0.6961	0.8787
22	11000	139.0	106.68	500	120.09	500.0	0.7087	0.4918	0.0000	0.0356	1.6999	2.6467	0.8717	0.7845
23	11500	144.6	147.74	500	120.09	500.0	0.6161	0.7767	0.0000	0.0210	1.5997	3.5710	0.8759	0.9451
