iter	step	elapsed_s	train_reward	train_length	eval_reward	eval_length	consistency_loss	grad_norm	pi_loss	reward_loss	total_loss	value_loss	weighted_loss	z_std
0	0	0.1	0.00	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	500	0.2	0.00	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	1000	0.3	0.07	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	1500	0.4	0.00	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	2000	0.4	18.10	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	2500	0.5	0.00	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
6	3000	0.6	0.00	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
7	3500	0.7	0.00	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
8	4000	0.8	0.00	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
9	4500	0.9	0.00	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10	5000	44.7	4.05	500	131.50	500.0	0.0005	0.3291	0.0000	0.0015	0.0154	0.1367	0.0047	0.1680
11	5500	49.8	0.00	500	131.50	500.0	0.0004	0.3331	0.0000	0.0021	0.0112	0.0931	0.0039	0.1868
12	6000	55.0	0.00	500	131.50	500.0	0.0005	0.1158	0.0000	0.0017	0.0070	0.0525	0.0024	0.2241
13	6500	60.3	0.00	500	131.50	500.0	0.0005	0.1660	0.0000	0.0008	0.0092	0.0788	0.0030	0.2412
14	7000	65.6	0.00	500	131.50	500.0	0.0007	0.2508	0.0000	0.0012	0.0200	0.1793	0.0056	0.2568
15	7500	81.4	82.12	500	0.00	500.0	0.0003	0.0800	0.0000	0.0077	0.0052	0.0074	0.0024	0.2451
16	8000	86.5	0.00	500	0.00	500.0	0.0002	0.0358	0.0000	0.0024	0.0025	0.0090	0.0011	0.2511
17	8500	91.8	0.00	500	0.00	500.0	0.0002	0.0317	0.0000	0.0030	0.0040	0.0201	0.0013	0.2684
18	9000	97.0	0.00	500	0.00	500.0	0.0003	0.0827	0.0000	0.0022	0.0044	0.0265	0.0016	0.3106
19	9500	102.2	0.00	500	0.00	500.0	0.0003	0.1073	0.0000	0.0032	0.0081	0.0589	0.0032	0.3074
20	10000	118.2	0.00	500	268.84	500.0	0.0002	0.2319	0.0000	0.0009	0.0073	0.0634	0.0025	0.3154
21	10500	123.5	578.77	500	268.84	500.0	0.0006	0.4470	0.0000	0.0053	0.0106	0.0674	0.0046	0.3756
22	11000	128.8	0.00	500	268.84	500.0	0.0003	1.1302	0.0000	0.0081	0.0109	0.0618	0.0049	0.3883
23	11500	134.0	0.00	500	268.84	500.0	0.0003	0.5656	0.0000	0.0031	0.0124	0.1022	0.0046	0.4166
24	12000	139.3	826.96	500	268.84	500.0	0.0004	0.1161	0.0000	0.0037	0.0170	0.1443	0.0067	0.3897
25	12500	155.4	0.00	500	498.51	500.0	0.0008	0.1305	0.0000	0.0063	0.0201	0.1527	0.0071	0.4038
26	13000	160.6	869.37	500	498.51	500.0	0.0005	0.2353	0.0000	0.0034	0.0318	0.2921	0.0103	0.4293
