iter	step	elapsed_s	train_reward	train_length	eval_reward	eval_length	goal_dist_best	goal_dist_final	goal_success_rate	grad_norm	pred_loss	sigreg_loss	total_loss
40	20000	133.0	68.00	500	-0.94	0.0	0.9434	2.5402	0.0000	1.1083	0.0105	1.2214	0.1327
41	20500	135.0	0.00	500	-0.94	0.0	nan	nan	nan	1.1905	0.0096	1.2433	0.1339
42	21000	137.0	28.00	500	-0.94	0.0	nan	nan	nan	0.9693	0.0103	1.1931	0.1296
43	21500	138.9	0.00	500	-0.94	0.0	nan	nan	nan	0.9124	0.0113	1.1332	0.1247
44	22000	140.9	0.00	500	-0.94	0.0	nan	nan	nan	1.0029	0.0110	1.1794	0.1289
45	22500	150.6	41.00	500	-1.22	0.0	1.2159	2.4597	0.0000	0.9479	0.0097	1.1041	0.1201
46	23000	152.6	0.00	500	-1.22	0.0	nan	nan	nan	1.0216	0.0105	1.1700	0.1275
47	23500	154.6	0.00	500	-1.22	0.0	nan	nan	nan	0.9334	0.0091	1.1645	0.1255
48	24000	156.5	0.00	500	-1.22	0.0	nan	nan	nan	0.7719	0.0087	1.1204	0.1207
49	24500	158.5	8.00	500	-1.22	0.0	nan	nan	nan	0.9932	0.0087	1.1363	0.1223
50	25000	168.4	0.00	500	-3.17	0.0	3.1670	4.4181	0.0000	1.0363	0.0091	1.0542	0.1145
51	25500	170.4	14.00	500	-3.17	0.0	nan	nan	nan	0.8935	0.0089	1.0640	0.1153
52	26000	172.3	4.00	500	-3.17	0.0	nan	nan	nan	0.7850	0.0093	1.0823	0.1176
53	26500	174.3	121.00	500	-3.17	0.0	nan	nan	nan	0.9178	0.0096	1.1727	0.1269
54	27000	176.3	0.00	500	-3.17	0.0	nan	nan	nan	0.7825	0.0089	1.1109	0.1200
55	27500	186.0	0.00	500	-1.91	0.0	1.9088	3.1450	0.0000	0.9966	0.0102	1.1143	0.1216
56	28000	188.0	4.00	500	-1.91	0.0	nan	nan	nan	0.8218	0.0092	1.1264	0.1219
57	28500	190.0	0.00	500	-1.91	0.0	nan	nan	nan	0.7618	0.0077	1.0409	0.1117
58	29000	191.9	0.00	500	-1.91	0.0	nan	nan	nan	0.7429	0.0088	1.0584	0.1146
59	29500	193.9	36.00	500	-1.91	0.0	nan	nan	nan	0.7366	0.0073	1.0956	0.1168
60	30000	203.6	0.00	500	-4.27	0.0	4.2713	5.6428	0.0000	0.7685	0.0083	1.0293	0.1112
61	30500	205.6	0.00	500	-4.27	0.0	nan	nan	nan	0.7196	0.0086	1.0476	0.1133
62	31000	207.6	71.00	500	-4.27	0.0	nan	nan	nan	0.6392	0.0077	1.0562	0.1134
63	31500	209.6	0.00	500	-4.27	0.0	nan	nan	nan	0.7220	0.0081	0.9906	0.1071
64	32000	211.6	0.00	500	-4.27	0.0	nan	nan	nan	0.6336	0.0083	1.0337	0.1117
65	32500	221.3	14.00	500	-2.30	0.0	2.2972	3.0724	0.0000	0.6513	0.0079	1.0338	0.1112
66	33000	223.3	0.00	500	-2.30	0.0	nan	nan	nan	0.7265	0.0073	1.0336	0.1107
67	33500	225.3	10.00	500	-2.30	0.0	nan	nan	nan	0.7008	0.0075	1.0624	0.1137
68	34000	227.3	0.00	500	-2.30	0.0	nan	nan	nan	0.8061	0.0086	1.0679	0.1154
69	34500	229.3	0.00	500	-2.30	0.0	nan	nan	nan	0.7418	0.0077	1.0000	0.1077
70	35000	239.2	0.00	500	-0.89	0.0	0.8867	2.7035	0.0000	0.7980	0.0071	0.9882	0.1059
71	35500	241.2	19.00	500	-0.89	0.0	nan	nan	nan	0.6325	0.0072	0.9894	0.1062
72	36000	243.2	0.00	500	-0.89	0.0	nan	nan	nan	0.6371	0.0064	0.9800	0.1044
73	36500	245.2	0.00	500	-0.89	0.0	nan	nan	nan	0.5691	0.0064	0.9568	0.1021
74	37000	247.2	0.00	500	-0.89	0.0	nan	nan	nan	0.5944	0.0062	0.9063	0.0968
75	37500	256.9	0.00	500	-1.97	0.0	1.9725	3.2369	0.0000	0.4918	0.0070	0.9919	0.1062
76	38000	258.9	0.00	500	-1.97	0.0	nan	nan	nan	0.6202	0.0078	0.9208	0.0998
77	38500	260.9	0.00	500	-1.97	0.0	nan	nan	nan	0.5691	0.0067	0.9667	0.1034
78	39000	263.0	76.00	500	-1.97	0.0	nan	nan	nan	0.6437	0.0077	0.9836	0.1061
79	39500	265.1	0.00	500	-1.97	0.0	nan	nan	nan	0.5730	0.0063	0.9172	0.0981
80	40000	274.9	54.00	500	-0.12	0.0	0.1217	1.5179	0.0000	0.8072	0.0074	0.9959	0.1070
81	40500	276.9	25.00	500	-0.12	0.0	nan	nan	nan	0.6438	0.0070	0.9894	0.1059
82	41000	279.0	0.00	500	-0.12	0.0	nan	nan	nan	0.6916	0.0077	1.0127	0.1090
83	41500	281.0	124.00	500	-0.12	0.0	nan	nan	nan	0.6001	0.0071	1.0203	0.1091
84	42000	283.1	0.00	500	-0.12	0.0	nan	nan	nan	0.6314	0.0063	1.0042	0.1067
85	42500	293.0	0.00	500	-0.14	0.0	0.1400	1.7508	0.0000	0.5539	0.0059	0.9184	0.0978
86	43000	295.1	11.00	500	-0.14	0.0	nan	nan	nan	0.5419	0.0064	0.9643	0.1028
87	43500	297.1	18.00	500	-0.14	0.0	nan	nan	nan	0.5203	0.0063	0.9718	0.1034
88	44000	299.1	1.00	500	-0.14	0.0	nan	nan	nan	0.5789	0.0062	0.8998	0.0962
89	44500	301.1	0.00	500	-0.14	0.0	nan	nan	nan	0.4959	0.0064	0.9542	0.1019
90	45000	310.8	0.00	500	-1.72	0.2	1.7238	2.8096	0.2000	0.5061	0.0065	0.9554	0.1020
91	45500	312.8	14.00	500	-1.72	0.2	nan	nan	nan	0.4980	0.0066	0.8911	0.0957
92	46000	314.9	55.00	500	-1.72	0.2	nan	nan	nan	0.5171	0.0059	0.9948	0.1053
93	46500	316.9	19.00	500	-1.72	0.2	nan	nan	nan	0.5130	0.0054	0.9477	0.1002
94	47000	319.0	0.00	500	-1.72	0.2	nan	nan	nan	0.5393	0.0063	0.9534	0.1016
95	47500	328.7	10.00	500	-2.21	0.0	2.2116	3.2172	0.0000	0.4939	0.0056	0.9513	0.1007
96	48000	330.7	0.00	500	-2.21	0.0	nan	nan	nan	0.4998	0.0053	0.8868	0.0940
97	48500	332.7	0.00	500	-2.21	0.0	nan	nan	nan	0.5189	0.0056	0.9381	0.0994
98	49000	334.8	0.00	500	-2.21	0.0	nan	nan	nan	0.5605	0.0057	0.9379	0.0995
99	49500	336.8	0.00	500	-2.21	0.0	nan	nan	nan	0.5378	0.0061	0.9051	0.0966
100	50000	346.5	113.00	500	-1.94	0.0	1.9439	3.4180	0.0000	0.6199	0.0064	0.8765	0.0941
