iter	step	elapsed_s	train_reward	train_length	eval_reward	eval_length	consistency_loss	grad_norm	pi_loss	reward_loss	total_loss	value_loss	weighted_loss	z_std
0	0	0.1	0.00	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	500	0.2	0.00	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	1000	0.3	0.00	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	1500	0.4	0.00	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	2000	0.4	71.64	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	2500	0.5	0.00	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
6	3000	0.6	0.00	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
7	3500	0.7	0.00	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
8	4000	0.8	0.00	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
9	4500	0.9	0.00	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10	5000	48.7	0.01	500	493.87	500.0	0.0042	0.5650	0.0000	0.0138	0.2143	1.9909	0.0551	0.4038
11	5500	54.5	0.00	500	493.87	500.0	0.0029	0.3192	0.0000	0.0142	0.2029	1.8989	0.0534	0.4472
12	6000	60.3	816.18	500	493.87	500.0	0.0044	0.9974	0.0000	0.0672	0.1813	1.3889	0.0687	0.3983
13	6500	66.0	0.00	500	493.87	500.0	0.0037	0.3809	0.0000	0.0455	0.1468	1.1668	0.0549	0.4451
14	7000	71.8	0.00	500	493.87	500.0	0.0029	1.1093	0.0000	0.0314	0.1398	1.1824	0.0598	0.4788
15	7500	88.8	866.26	500	775.51	500.0	0.0031	1.2421	0.0000	0.0514	0.2387	2.0686	0.0934	0.4908
16	8000	94.4	0.00	500	775.51	500.0	0.0032	0.5456	0.0000	0.0336	0.1983	1.7502	0.0643	0.4965
17	8500	100.2	0.00	500	775.51	500.0	0.0032	0.9286	0.0000	0.0321	0.1806	1.5818	0.0704	0.5261
18	9000	106.0	851.27	500	775.51	500.0	0.0032	0.7556	0.0000	0.0532	0.2160	1.8295	0.0783	0.4818
19	9500	111.7	0.00	500	775.51	500.0	0.0030	0.7803	0.0000	0.0582	0.2259	1.9086	0.0820	0.5036
20	10000	128.9	828.80	500	682.44	500.0	0.0031	0.7245	0.0000	0.0273	0.2538	2.3397	0.0873	0.4954
21	10500	134.5	933.30	500	682.44	500.0	0.0044	2.5881	0.0000	0.0267	0.6865	6.6439	0.2425	0.5220
22	11000	140.1	0.00	500	682.44	500.0	0.0035	0.6027	0.0000	0.0286	0.2957	2.7430	0.1078	0.5020
23	11500	145.7	0.00	500	682.44	500.0	0.0042	0.8660	0.0000	0.0208	0.3782	3.5933	0.1434	0.5127
24	12000	151.3	979.34	500	682.44	500.0	0.0043	3.0587	0.0000	0.0333	0.5268	5.0157	0.2092	0.5066
25	12500	168.3	832.85	500	528.62	500.0	0.0036	1.1622	0.0000	0.0198	0.5485	5.3126	0.2056	0.4783
26	13000	174.0	0.00	500	528.62	500.0	0.0035	3.0956	0.0000	0.0201	0.3859	3.6882	0.1456	0.4934
