iter	step	elapsed_s	train_reward	train_length	eval_reward	eval_length	consistency_loss	grad_norm	pi_loss	reward_loss	total_loss	value_loss	weighted_loss	z_std
0	0	0.1	0.00	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	500	0.2	0.00	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	1000	0.3	0.00	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	1500	0.4	0.00	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	2000	0.5	24.17	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	2500	0.5	0.00	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
6	3000	0.6	0.00	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
7	3500	0.7	0.00	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
8	4000	0.8	0.00	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
9	4500	0.9	0.00	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10	5000	67.7	0.00	500	0.00	500.0	0.0001	0.1114	-2.9158	0.0038	0.0027	0.0057	0.0012	0.1277
11	5500	75.4	0.00	500	0.00	500.0	0.0001	0.0687	-2.9463	0.0060	0.0038	0.0050	0.0014	0.1535
12	6000	83.1	0.00	500	0.00	500.0	0.0002	0.3191	-3.8824	0.0029	0.0080	0.0616	0.0034	0.1613
13	6500	90.8	240.46	500	0.00	500.0	0.0004	0.5032	-7.0405	0.0109	0.0087	0.0245	0.0037	0.1770
14	7000	98.2	577.19	500	0.00	500.0	0.0007	1.0831	-11.8662	0.0221	0.0162	0.0389	0.0083	0.2144
15	7500	118.4	856.20	500	701.78	500.0	0.0008	0.9130	-16.9095	0.0142	0.0135	0.0474	0.0064	0.2370
16	8000	125.9	886.48	500	701.78	500.0	0.0008	0.3094	-21.0065	0.0109	0.0098	0.0263	0.0050	0.2467
17	8500	133.4	830.95	500	701.78	500.0	0.0008	0.7943	-24.1927	0.0051	0.0087	0.0448	0.0043	0.2674
18	9000	141.0	881.31	500	701.78	500.0	0.0008	0.6454	-33.6211	0.0122	0.0106	0.0291	0.0053	0.2612
19	9500	148.7	802.23	500	701.78	500.0	0.0009	1.6872	-39.9221	0.0060	0.0186	0.1383	0.0086	0.2552
20	10000	169.2	836.52	500	685.76	500.0	0.0009	0.4116	-41.8455	0.0038	0.0100	0.0633	0.0053	0.2517
21	10500	176.9	934.05	500	685.76	500.0	0.0007	0.8113	-48.5395	0.0055	0.0102	0.0612	0.0048	0.2596
22	11000	184.5	828.29	500	685.76	500.0	0.0009	0.5019	-58.3148	0.0053	0.0123	0.0784	0.0066	0.2325
23	11500	192.1	918.58	500	685.76	500.0	0.0007	0.2460	-62.2205	0.0022	0.0070	0.0441	0.0035	0.2430
24	12000	199.8	980.51	500	685.76	500.0	0.0009	1.1355	-63.7817	0.0033	0.0130	0.0956	0.0065	0.2525
25	12500	220.1	798.80	500	896.26	500.0	0.0010	0.7844	-66.3120	0.0022	0.0100	0.0699	0.0054	0.2495
26	13000	227.9	938.53	500	896.26	500.0	0.0009	1.4610	-81.4214	0.0034	0.0351	0.3162	0.0170	0.2141
