iter	step	elapsed_s	train_reward	train_length	eval_reward	eval_length	consistency_loss	grad_norm	pi_loss	reward_loss	total_loss	value_loss	weighted_loss	z_std
0	0	0.1	0.00	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	500	0.2	0.00	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	1000	0.3	0.00	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	1500	0.4	0.00	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	2000	0.4	14.29	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	2500	0.5	0.00	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
6	3000	0.6	0.00	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
7	3500	0.7	0.00	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
8	4000	0.8	0.00	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
9	4500	0.9	0.00	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10	5000	70.5	0.00	500	3.62	500.0	0.0000	0.0225	-2.1829	0.0007	0.0006	0.0023	0.0003	0.0915
11	5500	78.6	0.00	500	3.62	500.0	0.0000	0.0140	-2.0845	0.0005	0.0006	0.0025	0.0003	0.0953
12	6000	86.7	493.84	500	3.62	500.0	0.0024	0.6502	-5.8061	0.0499	0.0468	0.1709	0.0191	0.2136
13	6500	94.7	782.21	500	3.62	500.0	0.0035	1.7867	-10.8400	0.0709	0.0780	0.3552	0.0366	0.3479
14	7000	102.8	0.00	500	3.62	500.0	0.0023	0.7183	-15.7760	0.0564	0.0634	0.3068	0.0231	0.4199
15	7500	124.2	711.87	500	887.21	500.0	0.0023	0.7557	-24.8771	0.0842	0.0987	0.5209	0.0398	0.3798
16	8000	132.2	886.76	500	887.21	500.0	0.0024	1.4403	-31.5829	0.1040	0.1112	0.5432	0.0479	0.4088
17	8500	140.3	0.00	500	887.21	500.0	0.0032	1.0139	-35.4426	0.0479	0.1015	0.7115	0.0450	0.4369
18	9000	148.3	889.88	500	887.21	500.0	0.0032	0.8446	-43.8143	0.0350	0.0827	0.5878	0.0342	0.3988
19	9500	156.4	0.00	500	887.21	500.0	0.0038	1.1831	-49.4498	0.0341	0.1208	0.9617	0.0552	0.3690
20	10000	177.5	843.51	500	879.37	500.0	0.0028	0.8466	-58.1989	0.0403	0.0979	0.7223	0.0460	0.3897
21	10500	185.6	941.56	500	879.37	500.0	0.0023	1.1844	-73.5580	0.0334	0.0835	0.6227	0.0403	0.3845
22	11000	193.7	841.86	500	879.37	500.0	0.0024	0.6667	-74.2382	0.0172	0.0725	0.5917	0.0357	0.3863
23	11500	201.5	917.52	500	879.37	500.0	0.0018	0.7707	-87.2266	0.0080	0.0672	0.5948	0.0287	0.3724
24	12000	209.4	985.68	500	879.37	500.0	0.0018	0.9327	-95.5079	0.0120	0.0590	0.4945	0.0317	0.3622
25	12500	230.4	839.18	500	900.29	500.0	0.0024	1.3964	-94.8693	0.0137	0.0664	0.5482	0.0335	0.3845
26	13000	238.3	938.15	500	900.29	500.0	0.0018	0.9483	-109.4144	0.0128	0.0644	0.5441	0.0354	0.3600
