iter	step	elapsed_s	train_reward	train_length	eval_reward	eval_length	consistency_loss	grad_norm	pi_loss	reward_loss	total_loss	value_loss	weighted_loss	z_std
0	0	0.2	54.66	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	500	0.3	31.28	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	1000	0.5	33.33	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	1500	0.6	50.59	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	2000	0.8	42.68	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	2500	0.9	33.21	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
6	3000	1.1	35.98	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
7	3500	1.2	30.69	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
8	4000	1.4	46.67	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
9	4500	1.5	35.83	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10	5000	50.6	33.90	500	57.58	500.0	0.5727	0.2250	0.0000	0.0207	1.1968	0.4113	0.6728	0.4864
11	5500	56.5	73.63	500	57.58	500.0	0.6145	0.2620	0.0000	0.0313	1.3082	0.6352	0.8057	0.5455
12	6000	62.3	76.80	500	57.58	500.0	0.6164	0.2742	0.0000	0.0316	1.3324	0.8379	0.7844	0.5903
13	6500	68.2	169.93	500	57.58	500.0	0.6635	0.4322	0.0000	0.0432	1.4770	1.2833	0.9033	0.6350
14	7000	74.1	155.99	500	57.58	500.0	0.7341	0.4140	0.0000	0.0634	1.7032	2.0332	0.9829	0.6487
15	7500	92.0	205.91	500	152.44	500.0	0.7607	0.7380	0.0000	0.0914	1.9317	3.6469	1.0625	0.7149
16	8000	97.9	241.08	500	152.44	500.0	0.8308	0.9829	0.0000	0.1058	2.2317	5.1709	1.2161	0.7428
17	8500	103.6	184.13	500	152.44	500.0	0.8893	1.6509	0.0000	0.1379	2.5849	7.3742	1.2329	0.7498
18	9000	109.5	213.33	500	152.44	500.0	0.8469	1.4233	0.0000	0.1136	2.5755	8.2493	1.3805	0.7598
19	9500	115.3	299.14	500	152.44	500.0	0.9308	1.8362	0.0000	0.1317	2.8827	9.5512	1.6275	0.7515
20	10000	133.1	266.85	500	285.19	500.0	0.9891	1.8891	0.0000	0.1607	3.3547	12.9619	1.7627	0.7652
21	10500	139.0	198.37	500	285.19	500.0	1.0045	1.9687	0.0000	0.1691	3.4276	13.3407	1.9966	0.7901
22	11000	144.8	151.51	500	285.19	500.0	1.0679	2.5550	0.0000	0.1452	3.5759	13.6756	2.0858	0.8145
23	11500	150.5	139.38	500	285.19	500.0	1.1086	2.1268	0.0000	0.1413	3.6392	13.5142	1.9896	0.8249
24	12000	156.4	347.38	500	285.19	500.0	1.1368	3.1183	0.0000	0.2223	4.3389	19.5418	2.0920	0.7941
25	12500	174.0	177.01	500	279.32	500.0	1.0753	3.5091	0.0000	0.1938	4.2238	19.7625	2.2613	0.8234
