iter	step	elapsed_s	train_reward	train_length	eval_reward	eval_length	consistency_loss	grad_norm	pi_loss	reward_loss	total_loss	value_loss	weighted_loss	z_std
0	0	0.2	31.99	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	500	0.3	37.24	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	1000	0.5	34.53	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	1500	0.6	43.46	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	2000	0.8	32.71	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	2500	0.9	36.01	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
6	3000	1.1	34.44	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
7	3500	1.2	41.99	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
8	4000	1.4	49.87	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
9	4500	1.5	60.40	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10	5000	46.5	34.85	500	81.73	500.0	0.4649	0.8832	0.0000	0.0014	0.9442	0.1362	0.6584	1.1651
11	5500	51.9	128.80	500	81.73	500.0	0.4942	0.7104	0.0000	0.0041	1.0254	0.3495	0.7288	1.2100
12	6000	57.3	111.40	500	81.73	500.0	0.4868	0.7711	0.0000	0.0044	1.0209	0.4511	0.6489	1.2679
13	6500	62.7	221.80	500	81.73	500.0	0.4909	0.9116	0.0000	0.0104	1.0551	0.6799	0.7234	1.2793
14	7000	68.1	132.10	500	81.73	500.0	0.4700	0.8198	0.0000	0.0076	1.0485	1.0462	0.6922	1.2951
15	7500	84.8	289.39	500	288.57	500.0	0.5063	0.6945	0.0000	0.0086	1.1394	1.2254	0.7511	1.3646
16	8000	90.3	409.14	500	288.57	500.0	0.5455	1.2279	0.0000	0.0136	1.2788	1.8101	0.8232	1.4011
17	8500	95.9	288.44	500	288.57	500.0	0.5510	0.9575	0.0000	0.0135	1.3726	2.6394	0.8212	1.3861
18	9000	101.4	317.68	500	288.57	500.0	0.5802	1.7388	0.0000	0.0199	1.5354	3.6508	0.9269	1.3715
19	9500	107.0	574.92	500	288.57	500.0	0.5883	1.6904	0.0000	0.0157	1.5911	4.0670	0.9058	1.4301
20	10000	123.9	398.56	500	601.47	500.0	0.5946	2.0254	0.0000	0.0206	1.7644	5.6481	1.1061	1.3870
21	10500	129.4	537.28	500	601.47	500.0	0.6070	2.4864	0.0000	0.0179	1.8347	6.1176	1.1245	1.4211
22	11000	134.9	587.71	500	601.47	500.0	0.6181	1.9622	0.0000	0.0147	1.8602	6.1667	1.1304	1.4308
23	11500	140.4	570.42	500	601.47	500.0	0.6149	3.2695	0.0000	0.0182	2.0135	7.7466	1.1797	1.4395
24	12000	145.9	734.52	500	601.47	500.0	0.6132	2.2347	0.0000	0.0144	2.0689	8.3536	1.1517	1.4123
