iter	step	elapsed_s	train_reward	train_length	eval_reward	eval_length	consistency_loss	grad_norm	pi_loss	reward_loss	total_loss	value_loss	weighted_loss
0	0	0.3	4.71	250	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	250	0.6	3.55	250	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	500	0.9	6.03	250	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	750	1.2	5.62	250	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	1000	1.5	2.40	250	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	1250	1.8	2.32	250	nan	nan	nan	nan	nan	nan	nan	nan	nan
6	1500	2.1	3.19	250	nan	nan	nan	nan	nan	nan	nan	nan	nan
7	1750	2.4	2.62	250	nan	nan	nan	nan	nan	nan	nan	nan	nan
8	2000	2.7	7.74	250	nan	nan	nan	nan	nan	nan	nan	nan	nan
9	2250	3.0	4.11	250	nan	nan	nan	nan	nan	nan	nan	nan	nan
10	2500	3.3	2.91	250	nan	nan	nan	nan	nan	nan	nan	nan	nan
11	2750	3.6	9.00	250	nan	nan	nan	nan	nan	nan	nan	nan	nan
12	3000	3.9	9.90	250	nan	nan	nan	nan	nan	nan	nan	nan	nan
13	3250	4.2	4.69	250	nan	nan	nan	nan	nan	nan	nan	nan	nan
14	3500	4.4	10.64	250	nan	nan	nan	nan	nan	nan	nan	nan	nan
15	3750	4.7	8.85	250	nan	nan	nan	nan	nan	nan	nan	nan	nan
16	4000	5.0	6.30	250	nan	nan	nan	nan	nan	nan	nan	nan	nan
17	4250	5.3	2.23	250	nan	nan	nan	nan	nan	nan	nan	nan	nan
18	4500	5.6	2.02	250	nan	nan	nan	nan	nan	nan	nan	nan	nan
19	4750	5.9	3.71	250	nan	nan	nan	nan	nan	nan	nan	nan	nan
20	5000	73.0	2.42	250	22.82	250.0	0.0006	0.3177	-7.5219	0.0030	0.0455	0.4285	0.0252
21	5250	77.7	19.06	250	22.82	250.0	0.0007	0.3532	-7.6390	0.0035	0.0480	0.4490	0.0256
22	5500	82.4	26.38	250	22.82	250.0	0.0006	0.2806	-9.0607	0.0024	0.0436	0.4131	0.0260
23	5750	87.1	43.81	250	22.82	250.0	0.0007	0.1865	-9.6966	0.0038	0.0396	0.3632	0.0234
24	6000	91.8	7.61	250	22.82	250.0	0.0016	0.3016	-9.4654	0.0046	0.0451	0.3968	0.0262
25	6250	105.8	39.89	250	42.49	250.0	0.0019	0.1630	-10.7324	0.0040	0.0399	0.3404	0.0235
26	6500	110.6	43.41	250	42.49	250.0	0.0016	0.2059	-11.1662	0.0034	0.0370	0.3212	0.0222
27	6750	115.3	47.28	250	42.49	250.0	0.0010	0.3721	-12.1873	0.0042	0.0348	0.3065	0.0217
28	7000	119.9	53.22	250	42.49	250.0	0.0013	0.2702	-12.6141	0.0044	0.0325	0.2774	0.0214
29	7250	124.6	60.39	250	42.49	250.0	0.0022	0.4938	-13.3991	0.0048	0.0362	0.2937	0.0236
30	7500	138.8	12.96	250	50.84	250.0	0.0033	0.4764	-13.4844	0.0048	0.0452	0.3624	0.0286
31	7750	143.6	60.53	250	50.84	250.0	0.0022	0.7189	-14.6247	0.0054	0.0443	0.3728	0.0259
32	8000	148.3	63.10	250	50.84	250.0	0.0012	0.1695	-15.7295	0.0039	0.0335	0.2913	0.0187
33	8250	153.0	76.20	250	50.84	250.0	0.0014	0.4517	-16.6047	0.0045	0.0403	0.3520	0.0247
34	8500	157.7	14.39	250	50.84	250.0	0.0023	0.2498	-17.3480	0.0056	0.0506	0.4313	0.0303
35	8750	171.8	52.76	250	58.97	250.0	0.0019	0.4690	-17.3778	0.0064	0.0513	0.4427	0.0295
36	9000	176.5	59.29	250	58.97	250.0	0.0026	0.3908	-19.3095	0.0059	0.0550	0.4690	0.0322
37	9250	181.2	48.24	250	58.97	250.0	0.0026	1.1790	-19.6530	0.0063	0.0576	0.4918	0.0377
38	9500	185.9	44.85	250	58.97	250.0	0.0028	1.8790	-20.7259	0.0101	0.0852	0.7454	0.0471
39	9750	190.7	74.53	250	58.97	250.0	0.0038	0.4875	-20.9261	0.0050	0.0682	0.5804	0.0371
40	10000	205.0	58.50	250	58.63	250.0	0.0035	0.3232	-22.3673	0.0053	0.0611	0.5143	0.0360
41	10250	209.8	58.72	250	58.63	250.0	0.0036	0.5255	-23.9514	0.0055	0.0660	0.5598	0.0379
42	10500	214.5	74.41	250	58.63	250.0	0.0021	1.0739	-24.8923	0.0046	0.0572	0.5072	0.0385
43	10750	219.2	78.69	250	58.63	250.0	0.0024	1.1463	-24.8688	0.0053	0.0735	0.6602	0.0456
44	11000	223.9	66.85	250	58.63	250.0	0.0021	0.3132	-25.6993	0.0053	0.0573	0.5051	0.0362
45	11250	238.0	42.63	250	55.07	250.0	0.0030	0.5983	-27.1735	0.0051	0.0601	0.5166	0.0367
46	11500	242.7	51.74	250	55.07	250.0	0.0015	0.6512	-27.9266	0.0064	0.0661	0.5994	0.0356
47	11750	247.4	59.87	250	55.07	250.0	0.0031	0.4297	-28.3541	0.0076	0.0688	0.5882	0.0366
48	12000	252.3	102.54	250	55.07	250.0	0.0016	0.2713	-29.8980	0.0067	0.0700	0.6353	0.0396
49	12250	256.9	66.76	250	55.07	250.0	0.0025	0.4354	-29.8106	0.0087	0.0680	0.5865	0.0428
50	12500	270.9	13.46	250	154.53	250.0	0.0017	0.5493	-31.0186	0.0068	0.0752	0.6840	0.0409
51	12750	275.7	387.14	250	154.53	250.0	0.0116	18.8698	-27.9441	3.4863	3.1417	13.7537	1.2320
52	13000	280.3	6.02	250	154.53	250.0	0.0109	16.3081	-28.8642	2.3756	3.0953	18.8571	1.1178
53	13250	284.9	13.24	250	154.53	250.0	0.0090	5.1213	-29.2284	0.8474	1.2903	8.4853	0.4744
54	13500	289.5	3.47	250	154.53	250.0	0.0161	40.3729	-38.5172	3.6261	5.4257	35.8038	2.1566
55	13750	303.3	4.76	250	5.67	250.0	0.0265	7.2377	-38.0733	0.8459	3.2514	27.7554	1.0904
56	14000	308.0	2.92	250	5.67	250.0	0.0278	18.7116	-22.8626	8.2750	5.2066	10.1344	1.9187
57	14250	312.7	5.66	250	5.67	250.0	0.0447	85.8427	-58.8046	6.2669	11.7045	84.8162	5.0359
58	14500	317.4	5.67	250	5.67	250.0	0.0450	10.7866	-39.2707	0.6894	2.5552	21.2039	0.9903
59	14750	322.1	7.25	250	5.67	250.0	0.0395	4.7825	-50.2238	1.0270	2.6622	20.6973	1.0952
60	15000	335.9	7.53	250	7.38	250.0	0.0421	23.4280	-52.8819	0.6125	2.5666	21.7610	1.0909
61	15250	340.6	7.40	250	7.38	250.0	0.0468	23.7826	-68.5455	0.8518	3.7322	32.1279	1.5029
62	15500	345.2	5.66	250	7.38	250.0	0.0406	49.9229	-86.7745	1.5266	7.5201	66.7548	3.2905
63	15750	349.8	8.11	250	7.38	250.0	0.0549	56.8748	-91.7746	1.7760	11.4251	104.2728	4.8406
64	16000	354.5	1349.13	250	7.38	250.0	0.0421	95.3763	-112.6910	1.1804	16.3368	156.6255	6.0611
65	16250	368.5	103.25	250	1041.29	250.0	0.0490	18.1581	-97.8109	0.7092	8.8153	83.6267	4.1205
66	16500	373.2	1246.23	250	1041.29	250.0	0.0391	22.5901	-131.1278	1.4557	14.0347	132.2870	6.3779
67	16750	377.9	1377.10	250	1041.29	250.0	0.0528	73.1064	-146.0604	1.9153	15.6130	145.4977	6.9713
68	17000	382.5	1404.05	250	1041.29	250.0	0.0586	44.1352	-165.4463	2.2443	16.8865	156.4723	6.8179
69	17250	387.1	120.95	250	1041.29	250.0	0.0442	72.7302	-190.1366	1.5646	21.4009	205.3026	10.1192
70	17500	400.9	633.44	250	14.68	250.0	0.0404	65.5478	-198.9030	1.5554	27.2677	296.1425	10.6949
71	17750	405.6	11.60	250	14.68	250.0	0.0353	65.4605	-227.6659	2.1444	28.0180	324.6544	12.2886
72	18000	410.3	123.38	250	14.68	250.0	0.0763	175.7541	-236.3746	1.9009	32.9400	320.7102	14.9650
73	18250	414.9	14.28	250	14.68	250.0	0.0875	137.9099	-250.7747	1.5571	39.8264	506.0947	16.8620
74	18500	419.5	110.98	250	14.68	250.0	0.0494	75.8579	-290.9377	2.6339	39.1274	378.2692	16.6310
75	18750	433.6	158.62	250	1095.90	250.0	0.0768	568.0187	-270.9391	5.9938	68.0954	719.5355	32.4043
76	19000	438.2	4.65	250	1095.90	250.0	0.0636	46.2082	-303.9336	3.6625	46.8987	604.8011	22.0849
77	19250	442.8	6.95	250	1095.90	250.0	0.1033	411.4017	-320.8943	3.2588	75.5976	1418.0416	37.6083
78	19500	447.4	3.90	250	1095.90	250.0	0.1178	140.2871	-173.5204	5.1311	38.6189	440.2667	17.8682
79	19750	452.1	5.40	250	1095.90	250.0	0.1106	102.3395	-243.4915	4.3584	45.9612	1010.4148	20.2825
80	20000	466.0	0.66	250	17.08	250.0	0.0757	26.6205	-296.2490	2.2499	42.2236	709.0196	18.6856
