iter	step	elapsed_s	train_reward	train_length	eval_reward	eval_length	consistency_loss	grad_norm	pi_loss	reward_loss	total_loss	value_loss	weighted_loss	z_std
0	0	0.2	36.70	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	500	0.4	34.68	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	1000	0.5	43.83	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	1500	0.7	35.89	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	2000	0.8	38.26	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	2500	1.0	34.26	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
6	3000	1.1	31.07	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
7	3500	1.3	36.12	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
8	4000	1.5	47.41	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
9	4500	1.6	50.64	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10	5000	50.2	38.45	500	157.43	500.0	0.4044	0.7619	0.0000	0.0015	0.8181	0.0853	0.6175	0.9766
11	5500	56.1	220.25	500	157.43	500.0	0.4363	0.8418	0.0000	0.0038	0.8960	0.2157	0.6300	1.0475
12	6000	61.8	60.72	500	157.43	500.0	0.3894	0.7140	0.0000	0.0025	0.8115	0.3134	0.5526	1.0557
13	6500	67.6	191.23	500	157.43	500.0	0.3802	0.6880	0.0000	0.0062	0.8171	0.5358	0.5434	1.0581
14	7000	73.4	64.31	500	157.43	500.0	0.3849	1.0212	0.0000	0.0047	0.8540	0.8176	0.5455	1.0700
15	7500	91.3	321.37	500	209.04	500.0	0.3701	0.6531	0.0000	0.0105	0.8250	0.7966	0.5295	1.0905
16	8000	97.1	65.88	500	209.04	500.0	0.3692	0.7604	0.0000	0.0096	0.8363	0.9307	0.5098	1.1261
17	8500	102.9	174.78	500	209.04	500.0	0.3872	1.0446	0.0000	0.0062	0.9030	1.2557	0.4981	1.1718
18	9000	108.7	65.39	500	209.04	500.0	0.3685	0.9596	0.0000	0.0061	0.8575	1.1743	0.5497	1.1730
19	9500	114.5	111.17	500	209.04	500.0	0.3558	1.7048	0.0000	0.0071	0.9063	1.9109	0.5071	1.1578
20	10000	132.4	302.45	500	127.98	500.0	0.3771	0.8493	0.0000	0.0072	0.9653	2.0761	0.5544	1.1682
21	10500	138.2	48.48	500	127.98	500.0	0.3779	0.9533	0.0000	0.0051	0.9423	1.8395	0.5203	1.1991
22	11000	143.9	163.66	500	127.98	500.0	0.3710	1.3315	0.0000	0.0061	1.0065	2.6138	0.5557	1.1931
23	11500	149.6	125.40	500	127.98	500.0	0.3731	0.9990	0.0000	0.0072	1.0273	2.7750	0.5954	1.1696
24	12000	155.4	65.18	500	127.98	500.0	0.3685	0.8719	0.0000	0.0058	1.0987	3.5877	0.5043	1.2269
25	12500	173.2	42.34	500	142.35	500.0	0.3489	1.2415	0.0000	0.0061	1.0312	3.3030	0.5482	1.1843
26	13000	178.9	29.29	500	142.35	500.0	0.3543	1.3099	0.0000	0.0044	1.0487	3.3796	0.5402	1.2530
27	13500	184.6	75.89	500	142.35	500.0	0.3703	1.4461	0.0000	0.0045	1.1445	4.0160	0.6367	1.2514
28	14000	190.4	53.27	500	142.35	500.0	0.3603	1.1857	0.0000	0.0042	1.0542	3.3152	0.5908	1.2785
29	14500	196.2	54.27	500	142.35	500.0	0.3598	1.8939	0.0000	0.0037	1.1452	4.2369	0.6283	1.2456
30	15000	214.3	104.83	500	79.25	500.0	0.3527	1.2548	0.0000	0.0055	1.1162	4.0807	0.5585	1.2529
31	15500	220.2	124.16	500	79.25	500.0	0.3773	2.1329	0.0000	0.0044	1.2620	5.0521	0.7156	1.2655
32	16000	226.0	72.85	500	79.25	500.0	0.3803	1.4776	0.0000	0.0041	1.1494	3.8669	0.6469	1.2634
33	16500	231.8	87.65	500	79.25	500.0	0.3820	1.3500	0.0000	0.0045	1.1676	4.0137	0.6713	1.2974
34	17000	237.6	63.43	500	79.25	500.0	0.3680	1.1688	0.0000	0.0041	1.1281	3.8999	0.5731	1.3110
35	17500	256.0	81.45	500	67.45	500.0	0.3550	2.0142	0.0000	0.0049	1.2093	4.9684	0.6712	1.2823
36	18000	261.9	110.39	500	67.45	500.0	0.3737	2.0021	0.0000	0.0049	1.2902	5.4045	0.7230	1.3100
37	18500	267.6	26.86	500	67.45	500.0	0.3874	1.6016	0.0000	0.0029	1.1700	3.9364	0.6643	1.3553
38	19000	273.3	88.57	500	67.45	500.0	0.3791	1.8433	0.0000	0.0048	1.2392	4.7852	0.6684	1.3392
39	19500	279.1	112.04	500	67.45	500.0	0.3815	1.9555	0.0000	0.0047	1.2942	5.2878	0.7544	1.2956
40	20000	297.3	77.29	500	82.32	500.0	0.3643	2.0198	0.0000	0.0038	1.2581	5.2762	0.6670	1.3496
41	20500	303.2	95.01	500	82.32	500.0	0.3572	1.7064	0.0000	0.0037	1.1570	4.4067	0.6119	1.3181
42	21000	309.1	142.99	500	82.32	500.0	0.3897	2.4263	0.0000	0.0073	1.2983	5.1523	0.7221	1.3090
43	21500	314.9	63.77	500	82.32	500.0	0.3686	1.8526	0.0000	0.0035	1.2247	4.8574	0.6746	1.3384
44	22000	320.6	115.85	500	82.32	500.0	0.4084	1.3363	0.0000	0.0046	1.2482	4.2915	0.6338	1.3880
45	22500	338.4	172.39	500	65.40	500.0	0.4049	1.3267	0.0000	0.0042	1.3364	5.2439	0.7073	1.3918
46	23000	344.2	47.19	500	65.40	500.0	0.4042	1.4790	0.0000	0.0041	1.2879	4.7750	0.6459	1.3574
47	23500	350.0	249.05	500	65.40	500.0	0.4111	1.2700	0.0000	0.0037	1.3039	4.7984	0.7187	1.3724
48	24000	355.9	27.20	500	65.40	500.0	0.3768	1.3030	0.0000	0.0031	1.1756	4.2045	0.6357	1.3704
49	24500	361.7	141.81	500	65.40	500.0	0.3732	1.1684	0.0000	0.0037	1.3350	5.8670	0.6368	1.4113
50	25000	379.6	65.80	500	74.82	500.0	0.3699	1.3527	0.0000	0.0039	1.1499	4.0816	0.6384	1.4181
51	25500	385.5	74.78	500	74.82	500.0	0.3775	1.1989	0.0000	0.0038	1.1906	4.3369	0.6056	1.4082
52	26000	391.4	156.85	500	74.82	500.0	0.3965	1.3864	0.0000	0.0035	1.3447	5.4994	0.6496	1.4328
53	26500	397.2	71.06	500	74.82	500.0	0.3955	1.4985	0.0000	0.0038	1.2731	4.8026	0.6659	1.4194
54	27000	403.1	190.69	500	74.82	500.0	0.3763	1.2213	0.0000	0.0039	1.1682	4.1374	0.6555	1.4664
55	27500	421.3	69.73	500	270.92	500.0	0.3821	2.1444	0.0000	0.0045	1.1911	4.2466	0.6647	1.4635
56	28000	427.3	295.14	500	270.92	500.0	0.4033	0.9400	0.0000	0.0038	1.2422	4.3377	0.5013	1.4820
57	28500	433.2	368.05	500	270.92	500.0	0.4398	1.1466	0.0000	0.0051	1.3731	4.9087	0.7082	1.5252
58	29000	438.9	320.43	500	270.92	500.0	0.4410	1.1902	0.0000	0.0060	1.4456	5.6052	0.7280	1.5113
59	29500	444.7	56.51	500	270.92	500.0	0.4429	1.4111	0.0000	0.0047	1.5305	6.4244	0.7310	1.5328
60	30000	462.4	502.16	500	226.65	500.0	0.4267	1.7110	0.0000	0.0046	1.4523	5.9655	0.7145	1.5022
