iter	step	elapsed_s	train_reward	train_length	eval_reward	eval_length	consistency_loss	grad_norm	pi_loss	reward_loss	total_loss	value_loss	weighted_loss	z_std
0	0	0.2	29.95	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	500	0.3	31.25	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	1000	0.5	31.89	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	1500	0.7	49.37	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	2000	0.8	32.59	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	2500	1.0	39.46	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
6	3000	1.1	33.52	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
7	3500	1.3	37.48	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
8	4000	1.5	42.33	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
9	4500	1.6	36.82	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10	5000	69.1	39.80	500	24.85	500.0	0.4008	0.6596	-18.2838	0.0014	0.8167	0.1445	0.5780	1.0771
11	5500	76.9	25.84	500	24.85	500.0	0.4023	0.8492	-21.2233	0.0013	0.8289	0.2364	0.5874	1.1165
12	6000	84.8	149.33	500	24.85	500.0	0.4033	0.7462	-26.5457	0.0047	0.8529	0.4400	0.5919	1.1365
13	6500	92.6	64.97	500	24.85	500.0	0.4159	0.8352	-30.5111	0.0028	0.8849	0.5170	0.6245	1.1597
14	7000	100.5	101.05	500	24.85	500.0	0.4305	0.5714	-36.4298	0.0063	0.9268	0.6256	0.6001	1.2120
15	7500	121.6	49.96	500	128.33	500.0	0.4199	0.9158	-40.8743	0.0051	0.8963	0.5402	0.6594	1.2539
16	8000	129.4	110.25	500	128.33	500.0	0.4309	0.7354	-44.0360	0.0033	0.9101	0.4658	0.6463	1.2982
17	8500	137.2	157.80	500	128.33	500.0	0.4194	0.9770	-47.7191	0.0072	0.9068	0.6437	0.6556	1.3002
18	9000	144.8	137.07	500	128.33	500.0	0.4352	1.0432	-51.8510	0.0072	0.9238	0.4985	0.6503	1.3690
19	9500	152.5	140.62	500	128.33	500.0	0.4466	1.1311	-55.7315	0.0073	0.9483	0.5151	0.6925	1.3613
20	10000	173.0	209.77	500	249.54	500.0	0.4779	1.0235	-59.1462	0.0074	1.0222	0.6275	0.7601	1.4362
21	10500	180.9	259.15	500	249.54	500.0	0.4782	1.0308	-63.5426	0.0096	1.0313	0.7015	0.6138	1.4318
22	11000	188.7	399.62	500	249.54	500.0	0.4594	1.7486	-66.8650	0.0128	1.0328	1.0756	0.7332	1.4362
23	11500	196.5	436.87	500	249.54	500.0	0.4672	0.8659	-70.3262	0.0104	1.0156	0.7599	0.6105	1.4740
24	12000	204.3	361.91	500	249.54	500.0	0.4635	1.7820	-75.7170	0.0184	1.0736	1.3749	0.6559	1.4763
25	12500	225.0	488.98	500	326.81	500.0	0.4483	1.4561	-78.2443	0.0081	1.0039	1.0322	0.7059	1.5129
26	13000	232.7	62.90	500	326.81	500.0	0.4316	1.0706	-84.3971	0.0099	0.9921	1.2391	0.6369	1.4831
27	13500	240.5	672.01	500	326.81	500.0	0.4481	0.8364	-90.4719	0.0101	1.0904	1.8920	0.6355	1.5292
28	14000	248.4	131.92	500	326.81	500.0	0.4623	1.2989	-95.8933	0.0098	1.1427	2.1316	0.7561	1.5188
29	14500	256.4	679.97	500	326.81	500.0	0.4577	1.1396	-102.5639	0.0089	1.1560	2.3617	0.6830	1.5537
30	15000	277.4	711.20	500	714.61	500.0	0.4616	1.7272	-110.8222	0.0104	1.2181	2.8968	0.6568	1.5794
31	15500	285.3	755.88	500	714.61	500.0	0.4598	4.1299	-119.7355	0.0144	1.3196	3.9285	0.8598	1.5877
32	16000	293.1	815.12	500	714.61	500.0	0.4473	1.2745	-128.2325	0.0112	1.2333	3.3308	0.7901	1.5688
33	16500	301.0	781.23	500	714.61	500.0	0.4425	2.8006	-137.9748	0.0082	1.2589	3.6987	0.7506	1.5886
34	17000	308.8	838.06	500	714.61	500.0	0.4154	1.3346	-147.0811	0.0088	1.1566	3.2146	0.7183	1.6355
35	17500	329.9	845.17	500	807.02	500.0	0.4326	3.2951	-156.8100	0.0114	1.2769	4.0606	0.8809	1.5839
36	18000	337.7	848.78	500	807.02	500.0	0.4325	1.5810	-164.9310	0.0099	1.1589	2.8882	0.7855	1.6301
37	18500	345.6	831.40	500	807.02	500.0	0.4159	1.4654	-172.7661	0.0111	1.1039	2.6656	0.7575	1.6279
