iter	step	elapsed_s	train_reward	train_length	eval_reward	eval_length	consistency_loss	grad_norm	pi_loss	reward_loss	total_loss	value_loss	weighted_loss	z_std
51	25500	550.8	850.02	500	868.16	500.0	0.0027	2.5478	-287.2539	0.0234	0.2467	2.2953	0.1155	0.3770
52	26000	559.4	895.31	500	868.16	500.0	0.0030	1.6628	-290.6338	0.0164	0.2292	2.1499	0.1033	0.3728
53	26500	568.1	919.87	500	868.16	500.0	0.0030	1.9420	-289.2171	0.0124	0.2239	2.1165	0.1103	0.3889
54	27000	576.9	887.26	500	868.16	500.0	0.0028	1.8353	-298.8694	0.0126	0.2391	2.2714	0.1050	0.3477
55	27500	600.2	903.78	500	875.45	500.0	0.0030	0.6348	-290.1333	0.0103	0.2149	2.0373	0.0900	0.3867
56	28000	609.0	843.96	500	875.45	500.0	0.0030	2.5795	-294.2238	0.0155	0.2313	2.1760	0.1164	0.3811
57	28500	617.8	856.86	500	875.45	500.0	0.0030	3.0842	-290.2490	0.0140	0.2604	2.4735	0.1078	0.3874
58	29000	626.5	921.39	500	875.45	500.0	0.0029	2.4527	-288.2868	0.0105	0.2253	2.1423	0.1039	0.4166
59	29500	635.2	906.23	500	875.45	500.0	0.0028	2.8011	-297.1232	0.0207	0.2887	2.7267	0.1414	0.3748
60	30000	657.9	912.10	500	887.66	500.0	0.0026	3.6891	-310.0302	0.0129	0.2402	2.2846	0.1222	0.3611
