iter	step	elapsed_s	train_reward	train_length	eval_reward	eval_length	consistency_loss	grad_norm	pi_loss	reward_loss	total_loss	value_loss	weighted_loss	z_std
0	0	0.2	36.05	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
1	500	0.3	64.15	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	1000	0.5	30.64	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	1500	0.6	29.41	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
4	2000	0.8	39.59	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	2500	1.0	31.47	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
6	3000	1.1	29.55	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
7	3500	1.3	29.75	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
8	4000	1.4	40.08	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
9	4500	1.6	32.32	500	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
10	5000	69.4	41.97	500	30.20	500.0	0.3291	0.6682	-29.2891	0.0016	0.7187	0.5975	0.5277	0.9498
11	5500	77.3	45.93	500	30.20	500.0	0.3051	0.5235	-35.8000	0.0014	0.6641	0.5328	0.4948	0.9770
12	6000	85.3	20.86	500	30.20	500.0	0.2841	0.7703	-42.0189	0.0016	0.6305	0.6152	0.4564	0.9726
13	6500	93.2	122.17	500	30.20	500.0	0.2968	0.6884	-47.5952	0.0037	0.6724	0.7690	0.4089	1.0038
14	7000	101.0	27.09	500	30.20	500.0	0.2864	0.6378	-50.7746	0.0030	0.6368	0.6251	0.4233	1.0262
15	7500	122.2	65.69	500	200.36	500.0	0.2834	0.5394	-54.3500	0.0024	0.6192	0.5115	0.4160	1.0220
16	8000	130.1	309.30	500	200.36	500.0	0.2880	0.6117	-57.8988	0.0079	0.6432	0.6327	0.4203	1.0855
17	8500	138.0	264.04	500	200.36	500.0	0.2980	0.7949	-61.5806	0.0094	0.6827	0.8198	0.4720	1.0977
18	9000	145.8	252.50	500	200.36	500.0	0.3200	0.6597	-65.1350	0.0118	0.7363	0.9041	0.4732	1.1141
19	9500	153.5	449.80	500	200.36	500.0	0.3222	1.1587	-70.6005	0.0168	0.8129	1.6011	0.5256	1.1530
20	10000	174.5	475.46	500	518.27	500.0	0.3359	1.0223	-76.7204	0.0166	0.8755	1.9540	0.5116	1.1225
21	10500	182.3	516.40	500	518.27	500.0	0.3232	1.3384	-84.0945	0.0185	0.8849	2.2933	0.5179	1.1284
22	11000	190.0	279.03	500	518.27	500.0	0.2929	1.5595	-89.8017	0.0129	0.8009	2.0879	0.5366	1.1463
23	11500	197.7	666.09	500	518.27	500.0	0.3096	1.3217	-97.8951	0.0159	0.8452	2.1808	0.5336	1.1484
24	12000	205.4	672.77	500	518.27	500.0	0.2991	1.1954	-106.8517	0.0195	0.8530	2.4508	0.5121	1.1275
25	12500	226.1	670.36	500	785.19	500.0	0.2999	1.3018	-115.0441	0.0173	0.8989	2.9045	0.5718	1.1195
26	13000	234.1	825.23	500	785.19	500.0	0.2949	1.2538	-124.8780	0.0167	0.8819	2.8381	0.5725	1.1240
27	13500	242.2	510.94	500	785.19	500.0	0.2989	1.8810	-131.2640	0.0190	0.9182	3.1089	0.5508	1.1315
28	14000	250.2	882.32	500	785.19	500.0	0.2910	1.3665	-140.3643	0.0188	0.9490	3.5771	0.6052	1.1192
29	14500	258.1	617.41	500	785.19	500.0	0.2927	3.5980	-148.0913	0.0188	1.0542	4.5932	0.7103	1.0975
30	15000	279.2	905.71	500	870.39	500.0	0.2744	2.3864	-157.9154	0.0144	0.8984	3.4243	0.4941	1.0880
31	15500	287.1	827.22	500	870.39	500.0	0.2551	1.5132	-164.8658	0.0145	0.8282	3.1089	0.5199	1.1057
32	16000	294.9	888.83	500	870.39	500.0	0.2669	1.6751	-174.2198	0.0155	0.8842	3.4263	0.5528	1.0766
33	16500	302.7	847.19	500	870.39	500.0	0.2583	1.7747	-180.6559	0.0139	0.8130	2.8951	0.5422	1.1048
